Fx-exp-C,,Fx-num-C,,Fz-exp-C,,Fz-num-C,
X,Y,X,Y,X,Y,X,Y
-2.356165305,0.1412070054681962,-2.351064632,0.10604817617145912,-2.345972939,0.1061625138277087,-2.356156325,0.10593383851520954
-2.172891291,0.25114266195214086,-2.228863996,0.10879227992144536,-2.193222143,0.10959264351519238,-2.233955689,0.10867794226519933
-1.999782703,0.29030330921761305,-2.121947419,0.14646653765567308,-2.040489308,0.18356910710865648,-2.065956754,0.2182705857803917
-1.88273662,0.5398452439822634,-1.96410493,0.1500110049994099,-1.933680492,0.6445213682787276,-1.984570484,0.5375584908572719
-1.78608425,0.894749329,-1.836866481,0.3645084481235763,-1.811731297,1.6349141467123616,-1.918611954,1.4561472211661837
-1.684322227,1.1792214177297673,-1.709699872,0.8611912268716324,-1.720341242,2.659894066161481,-1.852743224,2.727467621004969
-1.59273461,1.4281916642131698,-1.567321044,1.6051291872593545,-1.628969146,3.7554203195165776,-1.796995021,3.7516471768603417
-1.465496161,1.642689107337329,-1.450400682,2.3484954593658216,-1.532541278,4.992153578339874,-1.751466124,4.916690725215165
-1.323009572,1.9633490642892006,-1.353865053,3.161950714753271,-1.436149329,6.369979505,-1.695807722,6.293601950600415
-1.195807043,2.3189391752253137,-1.247190938,4.1520004802181525,-1.339838202,8.065263934,-1.650260865,7.388099165049262
-1.078814841,2.7801201117078875,-1.125304604,5.389305427322697,-1.268868799,9.301425504729284,-1.594575522,8.659190889575548
-0.987299064,3.311275693815187,-1.023749122,6.485060355990289,-1.197935317,10.678679743083283,-1.528931294,10.81234046323901
-0.916168021,3.9125202592034647,-0.92219364,7.580815284657884,-1.111753695,12.162096495264986,-1.447985047,12.860013549012258
-0.840008144,4.760791330918899,-0.820629178,8.641297046372493,-1.025563094,13.610240080493705,-1.377069524,14.30781412127223
-0.763857248,5.644335569587319,-0.713937103,9.560800477931398,-0.944446225,14.987722994160197,-1.321420102,15.719998513610461
-0.687733292,6.633699309114707,-0.622466227,10.26832189480363,-0.883570408,15.870924219859873,-1.255596273,17.167684748214185
-0.606517643,7.623177386298341,-0.505518925,10.905868666051145,-0.786927018,16.261101471811475,-1.149155639,19.074836854456734
-0.53544946,8.471334120357529,-0.388490802,11.225956934721768,-0.700386194,16.33359154587369,-1.062947077,20.452434105779474
-0.464345356,9.178398186604767,-0.261189492,11.193542209175018,-0.608690817,16.159283788921243,-0.976630755,21.406753353666375
-0.37285652,9.81537327,-0.143963808,10.737620804879928,-0.542400025,15.772765341969631,-0.885114978,21.937908935773674
-0.27623109,10.276096855428602,-0.05216067,10.140035044491633,-0.491348392,15.244811214237318,-0.798574154,22.01039900983589
-0.1948089,10.454292092693532,0.039642468353003224,9.542449284103341,-0.430068473,14.540719927052569,-0.732319283,21.764973230696224
-0.098039789,10.35064500730331,0.11622440744336693,8.732881509028381,-0.36366992,13.730923476665108,-0.655818164,21.272863958198148
-0.016482897,9.999742740273433,0.19277940635815938,8.029133234812377,-0.297235447,12.780034358465699,-0.609858224,20.74479549280958
0.054926527960390104,9.507519130119103,0.26427863232409265,7.184177955128181,-0.241020281,11.970009232765737,-0.563907265,20.25200019437401
0.12124426015813139,9.015181182308527,0.3459612446559346,6.339451350756484,-0.179614641,10.772093608239167,-0.512792772,19.477133897970788
0.1926985858314456,8.346591737389264,0.41235979738038964,5.529654900369021,-0.108043574,9.644952993,-0.451458972,18.561403609068115
0.2539605450803277,7.713046784110489,0.48897765670484805,4.578994457482107,-0.062002814,8.799426025,-0.374733352,17.187465162745355
0.3356341773536462,6.903593346691778,0.5910809221196507,3.5230862020174847,0.004440639,7.813263739813223,-0.303099425,15.81341237876635
0.40714238337810205,6.023364900054592,0.6931482673003586,2.6082706143648053,0.065873219,6.5095286144276905,-0.241639905,14.403857752521853
0.47865058940255967,5.143136453417405,0.7747859793395824,1.9399098447580378,0.1272070190178871,5.593798325525018,-0.169988018,12.959258634636871
0.5399754090611069,4.262679331467719,0.8971841770180138,1.166644275542314,0.19369537232757938,4.431270205607685,-0.113638151,11.620136004642106
