theta_rad,theta_deg,Fz_mN,Fx_mN
2.356194490192344837e+00,1.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.355394490192344925e+00,1.349541633763895447e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.354594490192345013e+00,1.349083267527790895e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.353794490192344657e+00,1.348624901291685774e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.352994490192344745e+00,1.348166535055581221e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.352194490192344833e+00,1.347708168819476668e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.351394490192344922e+00,1.347249802583372116e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.350594490192345010e+00,1.346791436347267563e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.349794490192344654e+00,1.346333070111162726e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.348994490192344742e+00,1.345874703875057889e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.348194490192344830e+00,1.345416337638953337e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.347394490192344918e+00,1.344957971402848784e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.346594490192345006e+00,1.344499605166744232e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.345794490192344650e+00,1.344041238930639395e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.344994490192344738e+00,1.343582872694534842e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.344194490192344826e+00,1.343124506458430005e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.343394490192344914e+00,1.342666140222325453e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.342594490192345003e+00,1.342207773986220900e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.341794490192344647e+00,1.341749407750116063e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.340994490192344735e+00,1.341291041514011511e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.340194490192344823e+00,1.340832675277906674e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.339394490192344911e+00,1.340374309041802121e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.338594490192344999e+00,1.339915942805697568e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.337794490192344643e+00,1.339457576569592732e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.336994490192344731e+00,1.338999210333488179e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.336194490192344819e+00,1.338540844097383626e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.335394490192344907e+00,1.338082477861278790e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.334594490192344995e+00,1.337624111625174237e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.333794490192344639e+00,1.337165745389069400e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.332994490192344728e+00,1.336707379152964847e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.332194490192344816e+00,1.336249012916860295e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.331394490192344904e+00,1.335790646680755742e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.330594490192344992e+00,1.335332280444650905e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.329794490192344636e+00,1.334873914208546068e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.328994490192344724e+00,1.334415547972441516e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.328194490192344812e+00,1.333957181736336963e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.327394490192344900e+00,1.333498815500232411e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.326594490192344988e+00,1.333040449264127574e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.325794490192344632e+00,1.332582083028022737e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.324994490192344720e+00,1.332123716791918184e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.324194490192344809e+00,1.331665350555813632e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.323394490192344897e+00,1.331206984319709079e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.322594490192344985e+00,1.330748618083604526e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.321794490192344629e+00,1.330290251847499690e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.320994490192344717e+00,1.329831885611394853e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.320194490192344805e+00,1.329373519375290300e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.319394490192344893e+00,1.328915153139185747e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.318594490192344981e+00,1.328456786903081195e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.317794490192344625e+00,1.327998420666976358e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.316994490192344713e+00,1.327540054430871521e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.316194490192344801e+00,1.327081688194766969e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.315394490192344890e+00,1.326623321958662416e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.314594490192344978e+00,1.326164955722557863e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.313794490192344622e+00,1.325706589486453026e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.312994490192344710e+00,1.325248223250348474e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.312194490192344798e+00,1.324789857014243637e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.311394490192344886e+00,1.324331490778139084e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.310594490192344974e+00,1.323873124542034532e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.309794490192344618e+00,1.323414758305929695e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.308994490192344706e+00,1.322956392069825142e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.308194490192344794e+00,1.322498025833720590e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.307394490192344882e+00,1.322039659597615753e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.306594490192344971e+00,1.321581293361511200e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.305794490192345059e+00,1.321122927125406648e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.304994490192344703e+00,1.320664560889301811e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.304194490192344791e+00,1.320206194653197258e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.303394490192344879e+00,1.319747828417092421e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.302594490192344967e+00,1.319289462180987869e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.301794490192345055e+00,1.318831095944883316e+02,0.000000000000000000e+00,0.000000000000000000e+00
